post_id,user_id,receiver_id,post_type,post_text,posttime ,visible
1,258,659,messages,Hello,2023-08-22 14:22:27,true
2,973,641,messages,Have a great day!,2023-07-09 05:52:40,false
3,629,210,messages,how are you?,2023-09-21 05:37:55,true
4,968,445,messages,I'm here to help.,2022-12-13 16:00:02,false
5,899,148,messages,Sorry for the inconvenience.,2023-08-12 07:37:47,false
6,991,221,messages,Is there anything else I can do for you?,2023-05-10 12:27:52,false
7,969,191,messages,I can't help with that.,2023-08-05 20:09:42,false
8,823,802,messages,Please wait a moment.,2023-01-28 05:06:08,false
9,269,705,messages,Hello,2022-11-02 19:26:05,true
10,55,556,messages,Hello,2023-09-02 05:10:49,false
11,588,125,messages,how are you?,2023-10-09 14:08:35,true
12,575,380,messages,Is there anything else I can do for you?,2023-02-23 21:39:16,false
13,16,834,messages,I'm here to help.,2023-04-01 08:08:57,false
14,274,20,messages,Have a great day!,2023-02-23 04:30:02,false
15,441,787,messages,Thank you for your patience.,2023-05-01 01:39:46,false
16,55,761,messages,How can I assist you?,2023-10-08 07:37:34,true
17,208,15,messages,Thank you for your patience.,2023-04-04 01:35:46,false
18,875,437,messages,How can I assist you?,2023-09-20 13:23:45,false
19,67,934,messages,I'm here to help.,2023-03-03 20:58:36,true
20,592,692,messages,Please wait a moment.,2023-06-19 08:30:33,true
21,85,759,messages,Is there anything else I can do for you?,2023-10-10 03:19:32,false
22,408,860,messages,Thank you for your patience.,2023-04-04 10:58:01,true
23,279,722,messages,Thank you for your patience.,2023-04-27 20:32:45,false
24,331,807,messages,I'm sorry,2023-08-31 01:23:20,false
25,742,369,messages,I'm sorry,2023-10-07 02:23:20,true
26,638,766,messages,Sorry for the inconvenience.,2022-11-10 18:45:34,false
27,314,801,messages,Sorry for the inconvenience.,2022-12-01 10:41:30,true
28,90,617,messages,Hello,2023-05-23 15:19:03,true
29,599,9,messages,Hello,2023-01-24 18:59:51,false
30,652,95,messages,I'm here to help.,2023-10-10 01:18:49,true
31,498,657,messages,I can't help with that.,2023-08-18 20:28:33,true
32,870,650,messages,Is there anything else I can do for you?,2023-09-12 01:31:55,true
33,279,317,messages,Hello,2023-09-23 16:25:45,true
34,925,614,messages,I'm here to help.,2023-03-08 11:21:52,true
35,663,365,messages,I'm here to help.,2022-10-17 16:32:25,true
36,719,397,messages,Thank you for your patience.,2023-07-16 07:15:34,false
37,569,259,messages,Is there anything else I can do for you?,2023-08-14 13:15:33,true
38,986,332,messages,Sorry for the inconvenience.,2022-12-24 20:02:31,false
39,592,296,messages,Sorry for the inconvenience.,2023-03-20 11:07:48,true
40,168,88,messages,Sorry for the inconvenience.,2023-01-31 21:16:24,true
41,137,840,messages,Have a great day!,2022-11-13 22:12:36,true
42,341,512,messages,how are you?,2023-07-07 10:27:59,true
43,939,650,messages,Let me check that for you.,2022-12-15 13:13:09,false
44,674,526,messages,I can't help with that.,2022-10-30 08:13:41,false
45,133,188,messages,Have a great day!,2022-12-31 15:35:45,true
46,998,774,messages,Is there anything else I can do for you?,2023-09-02 10:45:46,false
47,771,990,messages,Let me check that for you.,2023-10-10 14:44:16,false
48,560,592,messages,Have a great day!,2023-07-17 15:45:17,false
49,749,441,messages,Please wait a moment.,2022-12-05 16:50:52,true
50,550,970,messages,Hello,2023-08-19 06:17:59,false
51,428,477,messages,I'm sorry,2023-06-15 22:22:27,true
52,834,694,messages,Have a great day!,2023-06-04 10:57:25,false
53,860,634,messages,Please wait a moment.,2022-12-04 00:44:20,false
